Title,Price,Date
Got Data? Data Analyst Programmer Accountant Distressed T-Shirt,17.99,2024-06-28
"
                    Got Data? Data Analyst Programmer Accountant Distressed T-Shirt
                   ","
                       $17.99
                      ",2024-06-28
